DSI_Trend_z
author: Qingping Liu
created on:  2022-05-19 20:18:47
BEIJING	JIANGSU	ANHUI	HEBEI	TIANJIN	SHANDONG	HENAN	SHANXI	
-3.77844171412	-2.65890342846	-1.88922085706	-4.82800885694	-3.21867257129	-3.63849942841	-2.30904771419	-4.47815314266	
-4.68806657123	-3.49855714271	-1.18950942852	-4.96795114264	-3.63849942841	-4.12829742839	-2.72887457131	-4.96795114264	
-4.61809542837	-2.79884571417	-1.18950942852	-4.40818199981	-4.19826857125	-3.84841285698	-3.07873028558	-4.2682397141	
-4.44486693898	-2.1088784747	-1.58976992708	-4.63953264434	-4.44486693898	-3.73109268601	-2.88754129613	-4.70442121279	
-4.8341983497	-2.56309845387	-2.30354418006	-5.22352976041	-4.70442121279	-4.70442121279	-3.08220700148	-5.09375262351	
-4.89908691815	-2.62798702232	-1.45999279018	-5.22352976041	-4.50975550744	-4.12042409672	-3.40664984375	-5.48308403422	
-5.48308403422	-1.78443563244	-0.616441400297	-5.41819546577	-5.22352976041	-3.92575839136	-2.36843274851	-5.02886405505	
-5.15864119196	-1.39510422172	-0.291998558035	-5.22352976041	-5.22352976041	-3.73109268601	-2.30354418006	-4.8341983497	
-5.41819546577	-1.78443563244	-1.39510422172	-5.48308403422	-5.15864119196	-3.6013155491	-2.82265272768	-4.76930978124	
-5.09375262351	-1.58976992708	0.162221421131	-5.15864119196	-4.76930978124	-2.88754129613	-2.30354418006	-4.63953264434	
-4.89908691815	-2.36843274851	-0.227109989583	-5.35330689732	-4.8341983497	-3.73109268601	-1.71954706399	-4.8341983497	
-4.8341983497	-2.49820988541	-1.65465849553	-5.22352976041	-4.63953264434	-3.27687270684	-2.43332131696	-4.9639754866	
-4.8341983497	-2.49820988541	-1.65465849553	-5.15864119196	-4.50975550744	-4.50975550744	-3.08220700148	-5.02886405505	
-5.87241544493	-2.43332131696	-1.13554994792	-5.80752687648	-5.35330689732	-4.44486693898	-3.01731843303	-5.22352976041	
-5.22352976041	-1.9791013378	-0.227109989583	-5.35330689732	-5.22352976041	-3.6013155491	-2.49820988541	-4.76930978124	
-4.76930978124	-3.27687270684	-2.1088784747	-5.35330689732	-4.18531266517	-4.37997837053	-2.82265272768	-4.70442121279	
-5.54797260267	-3.53642698065	-1.07066137946	-5.80752687648	-5.41819546577	-4.70442121279	-3.21198413839	-5.35330689732	
